"","GNCD_110","GNCD_119","GNCD_107","GNCD_115","DC1DC2Bo_D28_M17","GNCD_108","DefCom2_155","GNCD_120","GNCD_123","GNCD_129","GNCD_111","GNCD_113","GNCD_117","GNCD_121","GNCD_98","GNCD_99","GNCD_106","D28_24","GNCD_101","DC1DC2Bo_D28_M2","GNCD_127","GNCD_103","GNCD_100","DefCom2_142","DefCom2_136","GNCD_105","GNCD_102","DefCom2_154","GNCD_112","DefCom2_130","DefCom2_156","DefCom2_122","DefCom2_132","DC1DC2Bo_D28_M18","DefCom2_139","DefCom2_123","DC1DC2Bo_D28_M3","DefCom2_127","DC1DC2Bo_M28_M13","DefCom2_121","DefCom2_134","DefCom2_144","GNCD_122","DefCom2_126","GNCD_114","DefCom2_162","DefCom2_128","DefCom2_140","GNCD_118","DefCom2_138","DefCom2_135","DefCom2_159","GNCD_128","GNCD_109","DefCom2_137","DC1DC2Bo_D28_M16","DefCom2_133","DefCom2_125","DefCom2_158","DefCom2_143","DC1DC2Bo_D28_M14","DefCom2_153","DC1DC2Bo_D28_M5","DC1DC2Bo_D28_M1","DefCom2_141","DefCom2_157","DC1DC2Bo_D28_M4","DefCom2_124","DC1DC2Bo_D28_M6","DefCom2_131","GNCD_126","D28_06","DefCom2_161","GNCD_124","D28_20","D28_08","D28_09","D28_05","D28_21","D28_15","D28_04","D28_14","D28_12","D28_23","D28_19","D28_02","D28_16","D28_22","D28_07","D28_10","D28_03","GNCD_116","D28_01","D28_17","D28_13","D28_18","D28_11","GNCD_125"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae",2.10638,2.02196,2.50633,1.77891,1.67047,1.72652,1.43541,2.2698,1.9237,2.39601,1.93812,2.1595,1.58345,4.34196,1.97013,3.39286,2.56468,1.3772,3.66991,1.78902,4.72311,2.62388,2.98434,1.96929,2.09536,2.80572,2.30511,1.97447,2.10805,1.21953,1.97562,1.52026,1.78749,1.71727,1.92056,1.70498,2.49028,1.62035,1.93731,1.56263,2.88534,1.89335,2.12205,1.88608,1.62274,4.69828,1.58749,2.2723,2.3224,2.3343,1.9873,1.74661,2.27491,2.52367,1.85478,1.53109,1.90591,1.64577,2.44807,1.67695,1.44489,1.92901,1.90345,2.38136,2.22095,2.22452,2.20696,1.29503,2.00458,2.0368,3.75065,2.77571,2.23478,1.95696,1.92675,2.69197,3.55818,3.08282,1.35833,1.48313,2.27042,1.61517,2.77836,2.44546,1.82981,2.72653,1.60337,1.90811,2.78185,3.08313,2.31434,2.65369,3.36949,2.34324,2.01516,1.76086,3.00034,2.27329
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae",1.36261,1.16214,1.61054,2.08,0.70543,1.49751,0.30548,1.11566,1.27227,0.99953,1.04351,1.58933,1.73139,1.0891,1.11513,1.07849,1.42315,0.67917,5.6991,1.16992,1.16606,1.37635,1.37177,0.60856,0.56683,1.49604,1.40808,0.67088,0.8323,0.43702,0.50394,0.68073,0.70677,0.98328,0.66091,0.87894,1.17746,0.50112,0.78669,0.63706,0.65512,0.59097,1.36983,0.57432,1.55908,0.96785,0.72161,0.75546,1.16199,0.70964,0.61345,0.48684,1.26033,1.09186,0.57412,0.81754,0.6457,0.54131,0.6463,0.50076,0.8227,0.95822,1.27711,1.27131,0.54625,0.48489,1.41092,0.78032,1.15669,0.62764,3.40299,2.17716,0.66428,1.28348,0.70385,1.5836,1.35232,1.39517,0.56759,0.62738,1.46588,0.61945,1.45157,0.92144,0.6073,1.34097,0.73748,0.75776,1.2016,1.50935,1.18694,1.32642,1.24355,0.75983,0.60139,0.69683,1.68123,1.46313
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae",1.10088,0.93213,0.44246,0.78493,0.3576,0.85707,0.79493,0.91286,0.89876,0.76564,0.71649,0.5651,0.53435,1.0233,0.71867,0.80051,0.88197,0,0.66239,0.23465,1.09708,0.92113,0.73412,0.84114,0.77354,0.91865,0.38727,1.005,0.57556,0.88802,0.97687,1.00743,0.75059,0.60377,0.86944,0.98013,0.53801,0.95525,0.63323,0.86402,0.81968,0.75192,0.50505,0.84358,0.51878,1.22548,1.07589,0.73531,0.69487,0.72945,0.64149,0.81689,0.68807,0.64075,1.00981,0.67549,1.15997,0.94211,0.90047,0.86369,0.82778,0.68162,0.35364,0.4427,0.59943,0.99119,0.39315,0.79094,0.25116,0.78692,0.114,0.85452,1.24845,0.59876,0.96577,0.9686,0.85715,0.66822,0.76277,1.01998,0.58026,1.22872,0.69686,0,0.64467,0.74994,0.7143,0,0.85832,0.69671,0.9347,0.80271,0.78352,0.84511,1.01752,0.51981,0.79961,0.45612
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae",0.16203,0.10974,0.1292,0.19254,0.14835,0.14116,0.15242,0.2339,0.13914,0.16542,0.11667,0.14162,0.10438,0.24909,0.13546,0.21988,0.22006,0.17831,0.69908,0.18012,0.52385,0.27031,0.17367,0.18625,0.22955,0.21872,0.15979,0.22772,0.12404,0.17194,0.23966,0.25249,0.20162,0.16784,0.21164,0.29971,0.26308,0.25305,0.28301,0.16227,0.24352,0.20819,0.1269,0.21219,0.11475,1.04937,0.15878,0.20539,0.1642,0.18974,0.18526,0.12858,0.19039,0.146,0.20726,0.19749,0.19723,0.15323,0.26143,0.19733,0.24655,0.23081,0.19652,0.24755,0.25619,0.22434,0.19344,0.21782,0.18766,0.19024,0.79946,0.35958,0.40057,0.20296,0.29443,0.31144,0.32956,0.28535,0.21448,0.24916,0.20989,0.27595,0.26911,0.2721,0.22499,0.27442,0.1892,0.21172,0.28233,0.31122,0.21448,0.28297,0.32086,0.26327,0.27927,0.24799,0.28462,0.18395
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae",0.45856,0.43516,0.22543,0.44373,0.07608,0.59388,0.069,0.44421,0.19565,0.30631,0.14766,0.33886,0.3865,0.53292,1.09677,1.42468,0.22607,0.11629,0.45919,0.11555,0.27888,0.34121,1.30013,0,0.05911,0.75676,0.26339,0,0.15006,0.0423,0,0.08188,0.10476,0.27006,0.03,0.059,0.33132,0,0.15095,0.04438,0.08617,0.00664,0.5046,0.02501,0.26807,0.00607,0.05721,0.02254,0.25739,0.04401,0.02306,0.10003,0.3154,0.45832,0.00802,0.15033,0.02589,0,0.02695,0,0.10078,0.07724,0.22179,0.35054,0.02039,0.06866,0.43656,0.05167,0.32088,0.07596,0.85657,0.50808,0.02562,0.53723,0.0766,0.33039,0.30564,0.37947,0.09751,0,0.36368,0.00494,0.31239,0.13885,0.06817,0.35561,0.09029,0.13783,0.28917,0.44238,0.2825,0.54259,0.2964,0.08124,0.05005,0.04834,0.4079,0.42979
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae",0.15095,0.17723,0.05959,0.20201,0,0.1281,0,0.1681,0.10889,0.14858,0.07018,0.14532,0.09999,0.23891,0.11193,0.1997,0.1791,0,0.24915,0.07971,0.30397,0.15375,0.15392,0,0,0.14964,0.17289,0,0.04798,0,0,0,0,0,0,0,0.13784,0,0,0,0,0,0.10803,0,0.11852,0,0,0,0.13929,0,0,0,0.17214,0.12165,0,0,0,0,0,0,0,0,0.08455,0.11293,0,0,0.09528,0,0.08244,0,0.90272,0.33537,0,0.17844,0,0.36883,0.30195,0.25123,0,0,0.20644,0,0.2186,0,0,0.20514,0,0,0.29275,0.24468,0.20489,0.24079,0.23678,0,0,0,0.25381,0.15793
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae",0.02243,0.00929,0,0.02676,0,0.02189,0,0.04739,0.01337,0.02611,0,0.00633,0.00705,0.0374,0.04622,0.10442,0.05941,0.02764,0.23711,0.01467,0.08049,0.01193,0.04459,0.02046,0.0248,0.06338,0.02266,0.02091,0.02162,0,0.01021,0.01014,0,0.01696,0.01323,0.04203,0.05345,0.00561,0.01444,0.01594,0.02839,0.00635,0.04162,0.01878,0.02921,0.14331,0,0.01262,0.02118,0.00963,0,0.02572,0.04489,0.0395,0.02465,0.04053,0.0447,0.01296,0.03052,0.02853,0.0198,0.0214,0.06087,0.04653,0.01031,0.02967,0.07302,0.01376,0.05598,0.00611,0.425,0.15893,0.06701,0.07883,0.02662,0.10118,0.08551,0.08946,0.04144,0.03318,0.12203,0.03321,0.08184,0.03907,0.0288,0.07409,0.02008,0.037,0.10813,0.19484,0.03906,0.09437,0.09983,0.05627,0.03811,0.04531,0.13068,0.0706
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides",43.8212,44.98113,40.66235,39.00185,45.89388,42.3222,38.83129,42.56796,41.11197,44.99864,43.83855,44.28822,40.62738,39.26071,45.53584,38.52981,42.28781,40.86702,31.0593,47.15609,38.67503,40.89806,38.76267,37.81423,42.15826,39.7026,42.68055,37.94394,43.50812,41.87294,39.37659,41.57126,39.29212,40.49922,42.87295,40.89466,44.43362,34.77745,42.35843,40.1554,37.95054,37.64508,40.70123,36.00189,41.06207,31.48808,35.97372,38.80461,42.56791,39.24229,39.68336,39.25298,39.58881,39.95876,40.26484,41.45754,42.05839,37.7607,39.36306,39.59895,40.91681,37.48181,43.89632,43.57259,41.83469,40.61279,42.71181,43.02887,42.69876,39.18208,7.28459,36.90813,37.92164,42.40488,43.89165,41.73672,41.24505,40.0329,46.27456,40.48904,41.8091,42.84659,39.24703,36.78194,40.9963,40.94138,43.3268,42.50757,45.97756,39.06356,43.61012,41.46463,39.64951,42.7873,40.59142,39.04875,37.79357,40.65225
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia",15.16062,13.52068,16.87026,18.97914,14.77824,15.51828,12.5521,14.24041,14.94569,15.69997,14.95863,15.22752,17.19655,15.43727,12.54307,17.01649,16.69136,12.87908,32.09387,16.79198,14.39116,17.80519,14.68162,18.57222,15.2319,14.28774,15.86245,17.68717,13.68938,17.48311,20.19936,16.93497,14.49665,15.33492,13.45469,17.87975,13.96813,19.22997,14.74916,15.30553,17.32105,20.28754,16.43504,17.41485,15.79445,18.3793,17.27279,16.11004,15.13819,19.25543,16.39696,16.79533,17.66758,14.69348,15.47141,14.32414,15.33401,17.42979,16.21365,19.26277,14.40382,15.43287,14.91447,16.2053,15.01254,17.70301,16.4526,14.07686,15.71535,14.25837,28.80485,15.13145,18.13474,15.7868,14.0476,13.68927,14.54739,14.19904,14.53948,14.04571,13.93041,13.25376,13.50522,13.19867,15.26117,13.25547,14.4388,13.52929,13.24124,17.35781,12.30776,16.66503,14.26593,15.29519,13.31036,14.80659,15.63055,14.87934
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Phocaeicola",7.6046,9.34008,11.69397,11.90916,12.16654,11.17502,10.14004,10.29899,14.38321,8.7488,11.67216,9.93936,11.65371,6.09918,10.77692,8.66177,8.80224,10.40597,3.3444,11.51722,6.78744,9.13528,9.17519,7.19557,8.92743,8.85117,10.00233,7.73478,8.85191,7.61067,8.9221,6.83221,10.1496,11.75942,9.37778,7.21297,11.52739,10.18867,9.37947,9.35036,9.8703,9.88977,12.02117,11.12817,13.49738,6.40505,10.83175,11.03507,9.5139,10.82365,9.41469,9.51268,12.18011,9.18983,7.36578,10.98408,7.13774,10.24556,9.19279,9.36626,10.47151,10.34072,13.18479,12.18945,10.04747,8.09195,11.12967,8.79159,13.39738,10.64365,0.9881,10.71558,7.631,11.09337,8.86951,9.88176,9.64418,11.04696,6.66057,8.67991,10.50773,9.46632,11.74157,9.84711,9.65329,10.08459,9.05925,9.81869,9.5437,11.21835,10.29173,10.42208,10.97828,8.05198,9.40628,10.98747,14.42463,12.4384
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella",6.99718,7.11914,9.37275,7.51808,2.26268,7.60526,5.57187,7.39877,7.03874,7.4683,8.38144,7.90283,8.83561,10.62846,6.36078,9.198,8.62255,6.70632,4.46198,3.38227,10.34528,8.65428,8.5708,6.4438,6.58107,8.13679,8.9223,5.98314,8.10952,3.20066,5.35347,6.16448,6.85286,5.39927,4.68866,6.43896,5.78999,6.45222,5.54825,4.56314,6.13713,4.71612,7.685,5.77129,7.22031,7.48195,6.7822,5.48489,9.51279,5.19147,6.16163,4.52142,7.18675,9.78907,6.12746,5.07622,5.65938,6.14269,4.18045,5.05504,5.8464,7.29165,7.17485,6.89844,6.47625,4.75721,7.7329,6.31399,6.87063,6.66005,4.87356,5.76884,5.54792,6.55858,4.29228,7.68802,6.18546,6.26549,5.63114,5.46202,6.04907,5.99516,7.25147,5.65561,6.0023,7.66541,5.86457,6.50693,7.15774,2.73676,7.9417,7.02628,8.14061,5.58101,6.11951,4.1245,6.5235,7.32206
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Enterocloster",5.77107,6.66723,8.29458,6.99412,3.40589,6.13169,5.04518,6.83166,6.61668,8.32356,7.66657,8.69932,7.53605,12.19118,5.73323,8.91737,7.79283,4.26531,2.48521,8.22295,11.2006,8.21295,12.25606,2.84141,2.68483,7.84939,8.22808,3.5843,13.90594,3.57201,2.37029,3.13806,5.1609,4.09808,2.9944,2.55418,7.37939,3.30682,3.10706,4.63711,2.68721,2.28054,9.51968,4.48327,9.85975,0.74653,3.90929,3.92895,8.95603,2.2449,4.52679,3.74554,8.08797,12.77004,2.81093,2.81042,3.23326,5.17067,3.12647,3.00242,4.02022,4.09161,7.48661,8.09611,2.99877,2.86776,8.13714,4.75034,7.72335,4.55073,5.70204,7.99796,2.4487,6.8472,2.6801,6.56476,8.77962,7.25507,2.90955,3.25812,8.83967,2.82958,7.04809,3.90575,2.90526,8.41585,3.33975,3.85989,7.23223,7.68508,8.22465,7.25915,7.92237,2.31613,4.2002,4.55222,6.0185,7.28266
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia",10.53386,8.46212,4.15648,5.2909,4.25439,8.21259,11.03548,8.20476,6.89196,5.62,4.76778,4.06208,4.77755,4.98506,8.4063,6.33541,5.51154,6.75662,8.26953,2.20498,6.19067,5.13424,6.11288,11.76595,7.76659,10.97008,4.68859,9.05185,4.04146,10.64876,5.76733,8.46208,5.56809,7.10167,10.15783,8.07112,4.78368,9.86443,7.58657,9.15506,10.38007,8.0269,4.25204,7.7921,3.98479,14.61258,6.70141,6.60948,3.99631,4.82156,7.28325,11.09704,4.52793,4.61721,9.89444,7.74774,12.42513,7.4439,12.54636,8.22547,8.14771,6.00179,3.92634,2.36078,7.95475,11.48091,3.61671,7.74509,3.42174,6.10144,35.55078,10.19805,10.37495,6.8496,8.12775,7.99253,7.01024,9.29656,7.41735,8.59311,7.4127,6.94658,10.09598,10.57204,5.69155,7.24882,5.788,6.65775,5.80555,9.05597,6.54286,6.60985,6.90266,7.12129,8.8629,9.80627,7.48418,7.58093
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium",3.88825,3.98327,3.25745,4.0152,5.12206,3.44375,4.29952,4.34088,3.43195,3.46462,3.68599,3.48719,3.91499,2.74177,3.32128,2.59857,3.66361,5.84682,6.12193,6.21796,3.14651,3.64556,2.61651,4.94478,5.22157,2.72282,4.07778,5.21518,3.07462,3.94092,4.77227,4.10299,4.83019,3.6154,4.49902,4.34336,6.21585,3.35148,3.88288,3.62995,4.11704,4.31207,3.82272,3.59823,3.44695,4.83009,3.82329,4.44451,4.51726,4.83589,5.0168,4.27286,4.83514,2.88928,5.48315,3.62547,3.60489,2.52101,3.539,4.51342,3.846,4.39329,4.50979,4.89467,3.95507,3.64986,4.47517,3.27935,5.15155,4.76111,5.61266,5.03493,4.46377,4.65279,3.76163,5.10174,4.8622,4.85631,3.94512,6.48333,5.3314,5.36452,4.26348,4.41565,5.45645,5.76112,4.96383,4.96642,4.38731,5.47488,5.01735,3.71408,4.85747,4.96823,4.86828,4.33376,4.55258,3.94193
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium",1.24962,1.14046,1.23929,0.96073,1.02483,0.83149,1.07566,1.37455,1.0376,1.36772,1.23465,1.24457,0.9086,2.77106,1.17631,1.91982,1.53488,0.75936,2.65991,0.99571,2.77989,1.5296,1.76466,1.52586,1.59739,1.81792,1.26607,1.39789,1.1718,0.81905,1.41262,1.39502,1.25471,0.89683,1.48902,1.55875,1.60522,1.10583,1.07447,1.33222,2.24738,1.33917,0.99706,1.35238,0.94882,4.26638,1.10338,1.71963,1.31855,1.85031,1.42904,1.37185,1.2955,1.41731,1.43653,0.81287,1.40859,1.21741,1.85054,1.21788,0.60664,1.36023,1.11222,1.46178,1.67517,1.78861,1.25989,1.21237,1.23655,1.47899,2.39223,1.88466,1.95484,1.13491,1.21422,1.72664,2.44004,2.109,0.82817,1.03352,1.39704,1.21281,1.89743,1.45604,1.20747,1.74094,1.00481,1.08674,1.79267,2.20491,1.45025,1.59583,2.2347,1.5966,1.54482,1.30975,2.06954,1.13993
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium",1.14175,0.98665,1.32365,1.86026,0.53549,1.30646,0.22054,0.81466,1.1688,0.7384,0.74463,1.32331,1.48228,0.97928,0.94957,0.93735,1.22379,0.49258,4.87403,0.77684,1.0448,1.17898,1.2762,0.48645,0.44037,1.35374,1.08564,0.51399,0.61725,0.34399,0.39318,0.48814,0.58604,0.80815,0.54145,0.7308,0.87766,0.39554,0.62814,0.51698,0.55887,0.49162,1.07232,0.46825,1.32106,0.84927,0.62374,0.6333,0.87786,0.51123,0.44962,0.3654,0.96352,0.91725,0.44116,0.67159,0.52674,0.44794,0.52739,0.37037,0.67126,0.8047,0.98581,0.99844,0.41734,0.371,1.06358,0.63333,0.85197,0.44674,2.81875,1.95825,0.46859,0.97037,0.52893,1.27234,1.06545,1.15919,0.4015,0.42058,1.21554,0.38631,1.18576,0.73906,0.41743,1.04826,0.54895,0.58919,0.93939,1.26186,0.95269,1.04615,1.01283,0.57513,0.42875,0.52416,1.37304,1.17404
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium",0.84115,0.81944,0.71859,0.78266,1.06651,0.61986,1.03713,0.75841,0.85713,0.86852,0.99624,0.87573,0.85146,1.14369,0.73327,1.06601,1.07362,0.72105,0.47566,0.92291,1.08988,0.81587,0.90672,1.33896,0.61733,0.88745,0.81875,1.12713,0.95945,1.16445,0.81132,1.11319,1.45403,0.62698,1.09458,1.08206,0.91051,1.07678,1.33415,1.16488,0.39916,1.50067,0.78505,1.36889,0.88721,1.15192,1.47165,1.56839,0.9382,1.39932,0.82657,0.54243,0.95718,1.07058,1.15105,1.19508,0.23519,1.2615,0.72921,1.07497,1.17096,1.29647,0.80888,0.92974,1.20305,0.57207,0.93466,1.15092,0.96185,1.56808,0.93202,1.0689,1.35312,0.87821,1.26021,0.96959,0.91862,0.89328,0.65738,0.70891,0.88833,0.60785,1.03156,1.11209,1.15321,0.86117,1.21386,0.59048,0.8396,0.92527,0.88694,0.88804,0.93276,1.47559,0.6112,1.13999,1.01431,0.85992
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes",1.10088,0.93213,0.44246,0.78493,0.3576,0.85707,0.79493,0.91286,0.89876,0.76564,0.71649,0.5651,0.53435,1.0233,0.71867,0.80051,0.88197,0,0.66239,0.23465,1.09708,0.92113,0.73412,0.84114,0.77354,0.91865,0.38727,1.005,0.57556,0.88802,0.97687,1.00743,0.75059,0.60377,0.86944,0.98013,0.53801,0.95525,0.63323,0.86402,0.81968,0.75192,0.50505,0.84358,0.51878,1.22548,1.07589,0.73531,0.69487,0.72945,0.64149,0.81689,0.68807,0.64075,1.00981,0.67549,1.15997,0.94211,0.90047,0.86369,0.82778,0.68162,0.35364,0.4427,0.59943,0.99119,0.39315,0.79094,0.25116,0.78692,0.114,0.85452,1.24845,0.59876,0.96577,0.9686,0.85715,0.66822,0.76277,1.01998,0.58026,1.22872,0.69686,0,0.64467,0.74994,0.7143,0,0.85832,0.69671,0.9347,0.80271,0.78352,0.84511,1.01752,0.51981,0.79961,0.45612
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor",0.65564,0.56414,0.99673,0.69871,0.05952,0.58517,0.08347,0.52404,0.5931,0.73309,0.56949,0.74564,0.54823,1.39855,0.61599,1.18531,0.66951,0.10806,0,0.43743,1.67446,0.74911,0.97748,0.12722,0.08378,0.71917,0.70362,0.2038,0.72407,0.10518,0.21093,0.12523,0.15995,0.16294,0.13488,0.14491,0.49329,0.1739,0.15297,0.19861,0.22764,0.21775,0.80093,0.18152,0.54367,0.27925,0.18239,0.1772,0.67397,0.1802,0.14025,0.09277,0.67377,0.78674,0.07019,0.13612,0.09654,0.10136,0.20288,0.06842,0.17389,0.23763,0.39077,0.53386,0.18462,0.11046,0.53577,0.07637,0.42553,0.17405,0.15079,0.55336,0.22077,0.50341,0.19907,0.65053,0.75403,0.66282,0.11405,0.15199,0.53759,0.15156,0.69241,0.26237,0.14264,0.63965,0.18473,0.21412,0.62317,0.65372,0.48341,0.80684,0.75586,0.21582,0.21413,0.14491,0.70302,0.7879
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus",0.20112,0.31737,0.27031,0.11947,0.33455,0.30986,0.25316,0.37121,0.293,0.2952,0.13399,0.16928,0.12663,0.17236,0.17783,0.28773,0.36029,0.30124,1.01,0.35588,0.26876,0.34518,0.2422,0.3041,0.38511,0.26863,0.33542,0.33748,0.21218,0.27438,0.30619,0,0.30951,0.35535,0.26009,0,0.39178,0.31367,0.44023,0,0.32674,0.27923,0.32406,0.25481,0.13025,0.06195,0.27265,0.32985,0.32988,0.24192,0.36632,0.26656,0.30565,0.31962,0.32002,0.32696,0.39148,0.27914,0.32279,0.38271,0.4066,0.25266,0.40046,0.38571,0.31981,0.29677,0.41129,0,0.3425,0.33379,1.20762,0.33769,0.00853,0.31864,0.23425,0.3148,0.36411,0.311,0.23179,0.21176,0.33579,0.15537,0.18852,0.33036,0.16873,0.34594,0.17905,0.30723,0.36601,0.2245,0.38067,0.25102,0.37893,0.1717,0.2194,0.15445,0.22778,0.34547
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella",0.16203,0.10974,0.1292,0.19254,0.14835,0.14116,0.15242,0.2339,0.13914,0.16542,0.11667,0.14162,0.10438,0.24909,0.13546,0.21988,0.22006,0.17831,0.69908,0.18012,0.52385,0.27031,0.17367,0.18625,0.22955,0.21872,0.15979,0.22772,0.12404,0.17194,0.23966,0.25249,0.20162,0.16784,0.21164,0.29971,0.26308,0.25305,0.28301,0.16227,0.24352,0.20819,0.1269,0.21219,0.11475,1.04937,0.15878,0.20539,0.1642,0.18974,0.18526,0.12858,0.19039,0.146,0.20726,0.19749,0.19723,0.15323,0.26143,0.19733,0.24655,0.23081,0.19652,0.24755,0.25619,0.22434,0.19344,0.21782,0.18766,0.19024,0.79946,0.35958,0.40057,0.20296,0.29443,0.31144,0.32956,0.28535,0.21448,0.24916,0.20989,0.27595,0.26911,0.2721,0.22499,0.27442,0.1892,0.21172,0.28233,0.31122,0.21448,0.28297,0.32086,0.26327,0.27927,0.24799,0.28462,0.18395
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia",0.45856,0.43516,0.22543,0.44373,0.07608,0.59388,0.069,0.44421,0.19565,0.30631,0.14766,0.33886,0.3865,0.53292,1.09677,1.42468,0.22607,0.11629,0.45919,0.11555,0.27888,0.34121,1.30013,0,0.05911,0.75676,0.26339,0,0.15006,0.0423,0,0.08188,0.10476,0.27006,0.03,0.059,0.33132,0,0.15095,0.04438,0.08617,0.00664,0.5046,0.02501,0.26807,0.00607,0.05721,0.02254,0.25739,0.04401,0.02306,0.10003,0.3154,0.45832,0.00802,0.15033,0.02589,0,0.02695,0,0.10078,0.07724,0.22179,0.35054,0.02039,0.06866,0.43656,0.05167,0.32088,0.07596,0.85657,0.50808,0.02562,0.53723,0.0766,0.33039,0.30564,0.37947,0.09751,0,0.36368,0.00494,0.31239,0.13885,0.04301,0.35561,0.0698,0.13783,0.28917,0.44238,0.2825,0.54259,0.2964,0.08124,0.05005,0.03373,0.4079,0.42979
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella",0.15095,0.17723,0.05959,0.20201,0,0.1281,0,0.1681,0.10889,0.14858,0.07018,0.14532,0.09999,0.23891,0.11193,0.1997,0.1791,0,0.24915,0.07971,0.30397,0.15375,0.15392,0,0,0.14964,0.17289,0,0.04798,0,0,0,0,0,0,0,0.13784,0,0,0,0,0,0.10803,0,0.11852,0,0,0,0.13929,0,0,0,0.17214,0.12165,0,0,0,0,0,0,0,0,0.08455,0.11293,0,0,0.09528,0,0.08244,0,0.90272,0.33537,0,0.17844,0,0.36883,0.30195,0.25123,0,0,0.20644,0,0.2186,0,0,0.20514,0,0,0.29275,0.24468,0.20489,0.24079,0.23678,0,0,0,0.25381,0.15793
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Anaerofustis",0.22086,0.17549,0.28689,0.21974,0.16993,0.19105,0.08494,0.301,0.10346,0.26113,0.29888,0.26602,0.24911,0.10982,0.16557,0.14114,0.19936,0.18659,0.82507,0.39308,0.12125,0.19737,0.09557,0.12211,0.12646,0.1423,0.32243,0.15689,0.21505,0.09304,0.11076,0.19259,0.12074,0.17513,0.11946,0.14815,0.2998,0.10558,0.15856,0.12007,0.09625,0.09935,0.29751,0.10607,0.23802,0.11858,0.09788,0.12216,0.28412,0.19841,0.16383,0.12144,0.29681,0.17461,0.13297,0.14595,0.11896,0.09336,0.11891,0.13039,0.15144,0.15352,0.29131,0.27287,0.12891,0.11389,0.34734,0.14699,0.30472,0.18091,0.58424,0.21891,0.19569,0.31311,0.17492,0.31127,0.28688,0.23598,0.1661,0.20679,0.25035,0.23314,0.26581,0.18238,0.18986,0.29271,0.18853,0.16857,0.2622,0.24749,0.23425,0.28028,0.23072,0.18469,0.17264,0.17267,0.30819,0.28909
